paper_id,claim_sentence,csv_score,ebv_score,cds_score,severity
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"Extensive experiments
have demonstrated the effectiveness of our method for large-scale scene novel view
synthesis, which outperforms relevant state-of-the-art baselines.",0.6,0.85,-0.25,Strongly Supported
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"We summarize the contributions
as follows: 1) Aiming at novel view synthesis for large outdoor scenes, we propose an implicit
neural representation framework based on point diffusion models to provide dense surface priors to
cope with the exploding sampling space.",0.3,0.85,-0.55,Strongly Supported
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"3) Extensive experiments demonstrate that our PDF network outperforms state-of-the-art methods,
including robustness to large-scale outdoor scene representation and the capability to synthesize more
photo-realistic novel views.",0.6,0.85,-0.25,Strongly Supported
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"We compare our method with the previous state-of-the art
methods on novel view synthesis, including NeRF [19], NeRF++ [41], Mip-NeRF [1], Mip-NeRF
360 [2], Mega-NeRF [28], Ref-NeRF [29].",0.3,0.85,-0.55,Strongly Supported
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"We outperform other methods on all average evaluation
metrics, especially LPIPS, a perceptual metric close to the human visual system, which is significantly
more sensitive to the foreground than the background.",0.5000000000000001,0.85,-0.34999999999999987,Strongly Supported
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"Our method exhibits superior
performance compared to the GAN-based point cloud up-sampling method, primarily due to its
9
Table 3: Quantitative results of ablation experiments, including removing the diffusion-based point
cloud up-sampling module, using the GAN-based point cloud up-sampling method, our PDF method.",0.4666666666666667,0.85,-0.3833333333333333,Strongly Supported
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"5
Conclusions and Limitations
In this paper, we propose PDF, a point diffusion implicit function for large-scale scene neural
representation, and demonstrate its robustness and fidelity on novel view synthesis tasks.",0.4333333333333333,0.85,-0.4166666666666667,Strongly Supported
0073cc73e1873b35345209b50a3dab66-Paper-Conference,"Extensive experiments demonstrate that our method
outperforms current methods in both subjective and objective aspects.",0.6,0.85,-0.25,Strongly Supported
00296c0e10cd24d415c2db63ea2a2c68-Paper-Conference,"In the context of ℓ2-regularized M-estimation problem,
we propose a novel grid point selection scheme and an adaptive stopping criterion
for any given optimization algorithm that produces an approximated solution path
with approximation error guarantee.",0.5333333333333333,0.65,-0.1166666666666667,Aligned
00296c0e10cd24d415c2db63ea2a2c68-Paper-Conference,"In the context of ℓ2-regularized M-estimation where p(θ) = (1/2)∥θ∥2
2, we propose a novel grid
point selection scheme and an associated stopping criterion at each grid point for any optimization
method.",0.3,0.65,-0.35000000000000003,Strongly Supported
00296c0e10cd24d415c2db63ea2a2c68-Paper-Conference,"4
Motivated by this observation and the local approximation-error bounds in Theorem 1, we propose a
novel stopping criterion scheme at the selected grid points for any general optimization algorithm.",0.3,0.65,-0.35000000000000003,Strongly Supported
00296c0e10cd24d415c2db63ea2a2c68-Paper-Conference,"Formally, we show that, given any ϵ > 0, the above scheme achieves ϵ-suboptimality (11) for ˜θ(t)
(up to a multiplicative constant).",0.4333333333333333,0.65,-0.21666666666666673,Strongly Supported
